TYPE;string;string;float64;float64;string;float64
NORG;DISSOLVED ORGANIC NITROGEN;millimole/m3;0;50;%6.3f;1e36
DOPW;DISSOLVED ORGANIC PHOSPHORUS;millimole/m3;0;50;%6.3f;1e36
PODW;DISSOLVED ORGANIC PHOSPHORUS;micromole/kg;0;5;%5.2f;1e36
DOX1;DISSOLVED OXYGEN;ml/l;0;10;%5.2f;1e36
DOX2;DISSOLVED OXYGEN;micromole/kg;0;450;%7.3f;1e36
DOXY;DISSOLVED OXYGEN;millimole/m3;0;650;%7.3f;1e36
TRIW;DISSOLVED TRITIUM;TU;0;2;%6.3f;1e36
TREW;DISSOLVED TRITIUM ERROR;TU;0;5;%6.3f;1e36
CHAD;DIVINYL CHLOROPHYLL-A;milligram/m3;0;9;%6.3f;1e36
CHBD;DIVINYL-CHLOROPHYLL-B;milligram/m3;0;5;%6.3f;1e36
DRYT;DRY BULB TEMPERATURE;Celsius degree;0;90;%5.1f;1e36
DRDD;DURATION (DAYS);ddd;0;999;%3.0f;1e36
CNDC;ELECTRICAL CONDUCTIVITY;mho/meter;3;7;%5.3f;1e36
ETDD;ELLAPSED TIME;decimal days;0;999;%9.5f;1e36
CHAE;EPIMERE CHLOROPHYLL-A;milligram/m3;0;5;%6.3f;1e36
MFEF;FE FLUX IN SETTLING PARTICLES;milligram/(m2.day);0;100;%6.2f;1e36
FLPF;FLAGELLATES PPC FLUX;milligram C/(m2.day);0;99.999;%6.3f;1e36
FLU2;FLUORESCENCE;milligram/m3;0;1;%6.4f;1e36
FLUO;FLUORESCENCE;relative unit;-0.1;10;%6.3f;1e36
FLU1;FLUORESCENCE;volt;-1;3;%6.3f;1e36
FUCP;FUCOXANTHINE;milligram/m3;0;5;%6.3f;1e36
MFEP;Fe IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MFES;Fe IN THE SEDIMENT;%;0;99;%6.3f;1e36
GLUC;GLUCIDE;milligram/m3;0;200;%5.0f;1e36
